Time	CellId	RNTI	BWPId	SINR(dB)
4.23307	1	3	0	12.7088
4.23307	1	4	0	-2.30142
4.23307	1	5	0	3.08193
4.23307	1	6	0	3.94164
4.23407	1	1	0	8.39019
4.23407	1	2	0	12.1452
4.23407	1	3	0	12.7088
4.23407	1	4	0	-2.30142
4.23407	1	5	0	3.08193
4.23407	1	6	0	3.94164
4.23507	1	1	0	8.39019
4.23507	1	2	0	12.1452
4.23507	1	3	0	12.7088
4.23507	1	4	0	-2.30142
4.23507	1	5	0	3.08193
4.23507	1	6	0	3.94164
4.23607	1	1	0	8.39019
4.23607	1	2	0	12.1452
4.23607	1	3	0	12.7088
4.23607	1	4	0	-2.30142
4.23607	1	5	0	3.08193
4.23607	1	6	0	3.94164
4.23707	1	1	0	8.39019
4.23707	1	2	0	12.1452
4.23707	1	3	0	12.7088
4.23707	1	4	0	-2.30142
4.23707	1	5	0	3.08193
4.23707	1	6	0	3.94164
4.23807	1	1	0	8.39019
4.23807	1	2	0	12.1452
4.23807	1	3	0	12.7088
4.23807	1	4	0	-2.30142
4.23807	1	5	0	3.08193
4.23807	1	6	0	3.94164
4.23907	1	1	0	8.39019
4.23907	1	2	0	12.1452
4.23907	1	3	0	12.7088
4.23907	1	4	0	-2.30142
4.23907	1	5	0	3.08193
4.23907	1	6	0	3.94164
4.24007	1	1	0	8.39019
4.24007	1	2	0	12.1452
4.24007	1	3	0	12.7088
4.24007	1	4	0	-2.30142
4.24007	1	5	0	3.08193
4.24007	1	6	0	3.94164
4.24107	1	1	0	8.39019
4.24107	1	2	0	12.1452
4.24107	1	3	0	12.7088
4.24107	1	4	0	-2.30142
4.24107	1	5	0	3.08193
4.24107	1	6	0	3.94164
4.24207	1	1	0	8.39019
4.24207	1	2	0	12.1452
4.24207	1	3	0	12.7088
4.24207	1	4	0	-2.30142
4.24207	1	5	0	3.08193
4.24207	1	6	0	3.94164
4.24307	1	1	0	8.39019
4.24307	1	2	0	12.1452
