time(s)	cellId	rnti	lcid	packetSize
0.795	1	3	3	132
0.796	1	4	3	132
0.796	1	3	3	132
0.796	1	2	3	1432
0.796	1	1	3	1432
0.797	1	4	3	132
0.797	1	3	3	132
0.798	1	4	3	132
0.798	1	3	3	132
0.798	1	2	3	1432
0.798	1	1	3	1432
0.799	1	4	3	132
0.799	1	3	3	132
0.8	1	4	3	132
0.8	1	3	3	132
0.8	1	2	3	1432
0.8	1	1	3	1432
0.801	1	4	3	132
0.801	1	3	3	132
0.802	1	6	3	82
0.802	1	5	3	82
0.802	1	4	3	132
0.802	1	3	3	132
0.802	1	2	3	1432
0.802	1	1	3	1432
0.803	1	4	3	132
0.803	1	3	3	132
0.804	1	4	3	132
0.804	1	3	3	132
0.804	1	2	3	1432
0.804	1	1	3	1432
0.805	1	4	3	132
0.805	1	3	3	132
0.806	1	4	3	132
0.806	1	3	3	132
0.806	1	2	3	1432
0.806	1	1	3	1432
0.807	1	4	3	132
0.807	1	3	3	132
0.808	1	4	3	132
0.808	1	3	3	132
0.808	1	2	3	1432
0.808	1	1	3	1432
0.809	1	4	3	132
0.809	1	3	3	132
0.81	1	4	3	132
0.81	1	3	3	132
0.81	1	2	3	1432
0.81	1	1	3	1432
0.811	1	4	3	132
0.811	1	3	3	132
0.812	1	4	3	132
0.812	1	3	3	132
0.812	1	2	3	1432
0.812	1	1	3	1432
0.813	1	4	3	132
0.813	1	3	3	132
0.814	1	4	3	132
0.814	1	3	3	132
0.814	1	2	3	1432
0.814	1	1	3	1432
0.815	1	4	3	132
0.815	1	3	3	132
0.816	1	4	3	132
0.816	1	3	3	132
0.816	1	2	3	1432
0.816	1	1	3	1432
0.817	1	4	3	132
0.817	1	3	3	132
0.818	1	4	3	132
0.818	1	3	3	132
0.818	1	2	3	1432
0.818	1	1	3	1432
0.819	1	4	3	132
0.819	1	3	3	132
0.82	1	4	3	132
0.82	1	3	3	132
0.82	1	2	3	1432
0.82	1	1	3	1432
0.821	1	4	3	132
0.821	1	3	3	132
0.822	1	4	3	132
0.822	1	3	3	132
0.822	1	2	3	1432
0.822	1	1	3	1432
0.823	1	4	3	132
0.823	1	3	3	132
0.824	1	4	3	132
0.824	1	3	3	132
0.824	1	2	3	1432
0.824	1	1	3	1432
0.825	1	4	3	132
0.825	1	3	3	132
0.826	1	4	3	132
0.826	1	3	3	132
0.826	1	2	3	1432
0.826	1	1	3	1432
0.827	1	4	3	132
0.827	1	3	3	132
0.828	1	4	3	132
0.828	1	3	3	132
0.828	1	2	3	1432
0.828	1	1	3	1432
0.829	1	4	3	132
0.829	1	3	3	132
0.83	1	4	3	132
0.83	1	3	3	132
0.83	1	2	3	1432
0.83	1	1	3	1432
0.831	1	4	3	132
0.831	1	3	3	132
0.832	1	4	3	132
0.832	1	3	3	132
0.832	1	2	3	1432
0.832	1	1	3	1432
0.833	1	4	3	132
0.833	1	3	3	132
0.834	1	4	3	132
0.834	1	3	3	132
0.834	1	2	3	1432
0.834	1	1	3	1432
0.835	1	4	3	132
0.835	1	3	3	132
0.836	1	4	3	132
0.836	1	3	3	132
0.836	1	2	3	1432
0.836	1	1	3	1432
0.837	1	4	3	132
