% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0792143	1	2	6	4.02297e-10	848117	0
0.0792143	1	3	2	2.43138e-10	512579	0
0.0792143	1	4	4	1.46926e-10	309748	0
0.0792143	1	5	5	9.46483e-11	199536	0
0.0792143	1	6	3	6.49739e-11	136977	0
0.0802143	1	1	1	5.19581e-10	1.09537e+06	0
0.0802143	1	2	6	4.02238e-10	847993	0
0.0802143	1	3	2	2.43095e-10	512490	0
0.0802143	1	4	4	1.46903e-10	309699	0
0.0802143	1	5	5	9.46355e-11	199509	0
0.0802143	1	6	3	6.49663e-11	136961	0
0.0812143	1	1	1	5.19579e-10	1.09537e+06	0
0.0812143	1	2	6	4.02179e-10	847869	0
0.0812143	1	3	2	2.43053e-10	512400	0
0.0812143	1	4	4	1.4688e-10	309650	0
0.0812143	1	5	5	9.46227e-11	199482	0
0.0812143	1	6	3	6.49588e-11	136945	0
0.0822143	1	1	1	5.19576e-10	1.09536e+06	0
0.0822143	1	2	6	4.0212e-10	847744	0
0.0822143	1	3	2	2.4301e-10	512310	0
0.0822143	1	4	4	1.46857e-10	309601	0
0.0822143	1	5	5	9.46098e-11	199455	0
0.0822143	1	6	3	6.49513e-11	136929	0
0.0832143	1	1	1	5.19573e-10	1.09536e+06	0
0.0832143	1	2	6	4.02061e-10	847620	0
0.0832143	1	3	2	2.42968e-10	512221	0
0.0832143	1	4	4	1.46834e-10	309552	0
0.0832143	1	5	5	9.4597e-11	199428	0
0.0832143	1	6	3	6.49437e-11	136913	0
0.0842143	1	1	1	5.19571e-10	1.09535e+06	0
0.0842143	1	2	6	4.02002e-10	847495	0
0.0842143	1	3	2	2.42925e-10	512131	0
0.0842143	1	4	4	1.4681e-10	309503	0
0.0842143	1	5	5	9.45842e-11	199401	0
0.0842143	1	6	3	6.49362e-11	136898	0
0.0852143	1	1	1	5.19568e-10	1.09535e+06	0
0.0852143	1	2	6	4.01943e-10	847371	0
0.0852143	1	3	2	2.42883e-10	512041	0
0.0852143	1	4	4	1.46787e-10	309454	0
0.0852143	1	5	5	9.45714e-11	199374	0
0.0852143	1	6	3	6.49287e-11	136882	0
0.0862143	1	1	1	5.19565e-10	1.09534e+06	0
0.0862143	1	2	6	4.01884e-10	847246	0
0.0862143	1	3	2	2.4284e-10	511952	0
0.0862143	1	4	4	1.46764e-10	309406	0
0.0862143	1	5	5	9.45586e-11	199347	0
0.0862143	1	6	3	6.49211e-11	136866	0
0.0872143	1	1	1	5.19563e-10	1.09533e+06	0
0.0872143	1	2	6	4.01825e-10	847122	0
0.0872143	1	3	2	2.42797e-10	511862	0
0.0872143	1	4	4	1.46741e-10	309357	0
0.0872143	1	5	5	9.45458e-11	199320	0
0.0872143	1	6	3	6.49136e-11	136850	0
0.0882143	1	1	1	5.1956e-10	1.09533e+06	0
0.0882143	1	2	6	4.01766e-10	846997	0
0.0882143	1	3	2	2.42755e-10	511772	0
0.0882143	1	4	4	1.46718e-10	309308	0
0.0882143	1	5	5	9.4533e-11	199293	0
