% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1506	1	3	2	0	0	28	2196	0	1	1	0
1507	1	4	4	0	0	28	2196	0	1	1	0
1508	1	2	6	0	0	28	2196	0	1	1	0
1509	1	3	2	0	0	28	2196	0	1	1	0
1510	1	4	4	0	0	28	2196	0	1	1	0
1511	1	3	2	0	0	28	2196	0	1	1	0
1512	1	4	4	0	0	28	2196	0	1	1	0
1513	1	3	2	0	0	28	2196	0	1	1	0
1514	1	4	4	0	0	28	2196	0	1	1	0
1515	1	1	1	0	0	28	2196	0	1	1	0
1516	1	3	2	0	0	28	2196	0	1	1	0
1517	1	4	4	0	0	28	2196	0	1	1	0
1518	1	4	4	0	0	28	2196	0	1	1	0
1520	1	4	4	0	0	28	2196	0	1	1	0
1521	1	4	4	0	0	28	2196	0	1	1	0
1524	1	4	4	0	0	28	2196	0	1	1	0
1525	1	2	6	0	0	28	2196	0	1	1	0
1526	1	1	1	0	0	28	2196	0	1	1	0
1527	1	3	2	0	0	28	2196	0	1	1	0
1528	1	3	2	0	0	28	2196	0	1	1	0
1529	1	3	2	0	0	28	2196	0	1	1	0
1530	1	2	6	0	0	28	2196	0	1	1	0
1531	1	3	2	0	0	28	2196	0	1	1	0
1532	1	3	2	0	0	28	2196	0	1	1	0
1533	1	4	4	0	0	28	2196	0	1	1	0
1534	1	3	2	0	0	28	2196	0	1	1	0
1535	1	1	1	0	0	28	2196	0	1	1	0
1536	1	4	4	0	0	28	2196	0	1	1	0
1537	1	3	2	0	0	28	2196	0	1	1	0
1538	1	2	6	0	0	28	2196	0	1	1	0
1539	1	4	4	0	0	28	2196	0	1	1	0
1540	1	3	2	0	0	28	2196	0	1	1	0
1542	1	4	4	0	0	28	2196	0	1	1	0
1543	1	4	4	0	0	28	2196	0	1	1	0
1544	1	3	2	0	0	28	2196	0	1	1	0
1545	1	1	1	0	0	28	2196	0	1	1	0
1546	1	3	2	0	0	28	2196	0	1	1	0
1547	1	4	4	0	0	28	2196	0	1	1	0
1548	1	3	2	0	0	28	2196	0	1	1	0
1549	1	4	4	0	0	28	2196	0	1	1	0
1550	1	2	6	0	0	28	2196	0	1	1	0
1551	1	3	2	0	0	28	2196	0	1	1	0
1552	1	4	4	0	0	28	2196	0	1	1	0
1553	1	3	2	0	0	28	2196	0	1	1	0
1554	1	3	2	0	0	28	2196	0	1	1	0
1555	1	1	1	0	0	28	2196	0	1	1	0
1556	1	3	2	0	0	28	2196	0	1	1	0
1557	1	3	2	0	0	28	2196	0	1	1	0
1558	1	2	6	0	0	28	2196	0	1	1	0
1559	1	4	4	0	0	28	2196	0	1	1	0
1560	1	4	4	0	0	28	2196	0	1	1	0
1561	1	4	4	0	0	28	2196	0	1	1	0
1562	1	4	4	0	0	28	2196	0	1	1	0
1563	1	3	2	0	0	28	2196	0	1	1	0
1564	1	4	4	0	0	28	2196	0	1	1	0
1565	1	1	1	0	0	28	2196	0	1	1	0
1566	1	3	2	0	0	28	2196	0	1	1	0
1567	1	4	4	0	0	28	2196	0	1	1	0
1568	1	3	2	0	0	28	2196	0	1	1	0
1570	1	4	4	0	0	28	2196	0	1	1	0
1575	1	2	6	0	0	28	2196	0	1	1	0
1576	1	1	1	0	0	28	2196	0	1	1	0
1577	1	3	2	0	0	28	2196	0	1	1	0
1578	1	4	4	0	0	28	2196	0	1	1	0
1579	1	3	2	0	0	28	2196	0	1	1	0
1580	1	3	2	0	0	28	2196	0	1	1	0
1581	1	4	4	0	0	28	2196	0	1	1	0
1582	1	2	6	0	0	28	2196	0	1	1	0
1583	1	4	4	0	0	28	2196	0	1	1	0
1584	1	3	2	0	0	28	2196	0	1	1	0
