Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.590929	DL	59	0	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.591929	DL	59	1	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.591929	DL	59	1	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.592929	DL	59	2	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.592929	DL	59	2	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.592929	DL	59	2	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.592929	DL	59	2	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.593929	DL	59	3	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.593929	DL	59	3	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.594929	DL	59	4	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.594929	DL	59	4	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.594929	DL	59	4	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.594929	DL	59	4	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.595929	DL	59	5	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.595929	DL	59	5	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.596929	DL	59	6	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.596929	DL	59	6	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.596929	DL	59	6	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.596929	DL	59	6	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.597929	DL	59	7	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.597929	DL	59	7	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
