time(s)	cellId	rnti	lcid	packetSize
0.82	1	4	3	130
0.821002	1	1	3	1430
0.821004	1	2	3	1430
0.821004	1	3	3	130
0.821004	1	4	3	130
0.822	1	3	3	130
0.822	1	4	3	130
0.823002	1	1	3	1430
0.823004	1	2	3	1430
0.823004	1	3	3	130
0.823004	1	4	3	130
0.824	1	3	3	130
0.824	1	4	3	130
0.825002	1	1	3	1430
0.825004	1	2	3	1430
0.825004	1	3	3	130
0.825004	1	4	3	130
0.826	1	3	3	130
0.826	1	4	3	130
0.827002	1	1	3	1430
0.827004	1	2	3	1430
0.827004	1	3	3	130
0.827004	1	4	3	130
0.828	1	3	3	130
0.828	1	4	3	130
0.829002	1	1	3	1430
0.829004	1	2	3	1430
0.829004	1	3	3	130
0.829004	1	4	3	130
0.83	1	3	3	130
0.83	1	4	3	130
0.831002	1	1	3	1430
0.831004	1	2	3	1430
0.831004	1	3	3	130
0.831004	1	4	3	130
0.832	1	3	3	130
0.832	1	4	3	130
0.833002	1	1	3	1430
0.833004	1	2	3	1430
0.833004	1	3	3	130
0.833004	1	4	3	130
0.834	1	3	3	130
0.834	1	4	3	130
0.835002	1	1	3	1430
0.835004	1	2	3	1430
0.835004	1	3	3	130
0.835004	1	4	3	130
0.836	1	3	3	130
0.836	1	4	3	130
0.837002	1	1	3	1430
0.837004	1	2	3	1430
0.837004	1	3	3	130
0.837004	1	4	3	130
0.838	1	3	3	130
0.838	1	4	3	130
0.839002	1	1	3	1430
0.839004	1	2	3	1430
0.839004	1	3	3	130
0.839004	1	4	3	130
0.84	1	3	3	130
0.84	1	4	3	130
0.841002	1	1	3	1430
0.841004	1	2	3	1430
0.841004	1	3	3	130
0.841004	1	4	3	130
0.842	1	3	3	130
0.842	1	4	3	130
0.843002	1	1	3	1430
0.843004	1	2	3	1430
0.843004	1	3	3	130
0.843004	1	4	3	130
0.844	1	3	3	130
0.844	1	4	3	130
0.845002	1	1	3	1430
0.845004	1	2	3	1430
0.845004	1	3	3	130
0.845004	1	4	3	130
0.846	1	3	3	130
0.846	1	4	3	130
0.847002	1	1	3	1430
0.847004	1	2	3	1430
0.847004	1	3	3	130
0.847004	1	4	3	130
0.848	1	3	3	130
0.848	1	4	3	130
0.849002	1	1	3	1430
0.849004	1	2	3	1430
0.849004	1	3	3	130
0.849004	1	4	3	130
0.85	1	3	3	130
0.85	1	4	3	130
0.851	1	5	3	80
0.851	1	6	3	80
0.851003	1	1	3	1430
